date,county,fips,place,confirmed_cases,x,y,region
6/14/20,Los Angeles,37,Reseda Ranch,33,-118.552574,34.21498,CA
6/14/20,Los Angeles,37,Reynier Village,14,-118.387153,34.036336,CA
6/14/20,Los Angeles,37,Rolling Hills,2,-118.347168,33.760022,CA
6/14/20,Los Angeles,37,Rolling Hills Estates,17,-118.350807,33.778407,CA
6/14/20,Los Angeles,37,Roosevelt,1,-117.961701,34.733315,CA
6/14/20,Los Angeles,37,Rosemead,163,-118.082271,34.068882,CA
6/14/20,Los Angeles,37,Rosewood,8,-118.249875,33.904692,CA
6/14/20,Los Angeles,37,Rosewood/East Gardena,1,-118.274921,33.893472,CA
6/14/20,Los Angeles,37,Rosewood/West Rancho Dominguez,30,-118.260993,33.898562,CA
6/14/20,Los Angeles,37,Rowland Heights,192,-117.871842,33.96744,CA
6/14/20,Los Angeles,37,San Dimas,88,-117.808944,34.108201,CA
6/14/20,Los Angeles,37,San Fernando,243,-118.436238,34.288671,CA
6/14/20,Los Angeles,37,San Gabriel,183,-118.099093,34.094844,CA
6/14/20,Los Angeles,37,San Jose Hills,124,-117.904177,34.012262,CA
6/14/20,Los Angeles,37,San Marino,24,-118.113237,34.122367,CA
6/14/20,Los Angeles,37,San Pasqual,2,-118.102533,34.139229,CA
6/14/20,Los Angeles,37,San Pedro,1022,-118.284679,33.736684,CA
6/14/20,Los Angeles,37,Santa Catalina Island,3,-118.437421,33.384064,CA
6/14/20,Los Angeles,37,Santa Clarita,889,-118.496479,34.41748,CA
6/14/20,Los Angeles,37,Santa Fe Springs,101,-118.062518,33.933048,CA
6/14/20,Los Angeles,37,Santa Monica,337,-118.481816,34.023052,CA
6/14/20,Los Angeles,37,Santa Monica Mountains,28,-118.740912,34.087782,CA
6/14/20,Los Angeles,37,Saugus,5,-118.478866,34.477689,CA
6/14/20,Los Angeles,37,Shadow Hills,12,-118.359629,34.254439,CA
6/14/20,Los Angeles,37,Sherman Oaks,284,-118.439071,34.15242,CA
6/14/20,Los Angeles,37,Sierra Madre,19,-118.050332,34.168709,CA
6/14/20,Los Angeles,37,Signal Hill,50,-118.168269,33.803005,CA
6/14/20,Los Angeles,37,Silver Lake,221,-118.270242,34.095701,CA
6/14/20,Los Angeles,37,South Antelope Valley,1,-118.084149,34.498972,CA
6/14/20,Los Angeles,37,South Carthay,40,-118.374921,34.056936,CA
6/14/20,Los Angeles,37,South El Monte,176,-118.048315,34.049352,CA
6/14/20,Los Angeles,37,South Gate,1060,-118.192526,33.944713,CA
6/14/20,Los Angeles,37,South Park,599,-118.274297,33.999717,CA
6/14/20,Los Angeles,37,South Pasadena,137,-118.157289,34.11024,CA
6/14/20,Los Angeles,37,South San Gabriel,54,-118.088033,34.047555,CA
6/14/20,Los Angeles,37,South Whittier,246,-118.031191,33.933626,CA
6/14/20,Los Angeles,37,St Elmo Village,51,-118.342305,34.042791,CA
6/14/20,Los Angeles,37,Stevenson Ranch,39,-118.607267,34.376825,CA
6/14/20,Los Angeles,37,Studio City,89,-118.389205,34.137441,CA
6/14/20,Los Angeles,37,Sun Valley,391,-118.355481,34.227522,CA
6/14/20,Los Angeles,37,Sun Village,26,-117.937941,34.572624,CA
6/14/20,Los Angeles,37,Sunland,177,-118.329287,34.255065,CA
6/14/20,Los Angeles,37,Sunrise Village,8,-118.060407,34.010388,CA
6/14/20,Los Angeles,37,Sycamore Square,1,-118.343701,34.058007,CA
6/14/20,Los Angeles,37,Sylmar,1017,-118.447155,34.313096,CA
6/14/20,Los Angeles,37,Tarzana,285,-118.549107,34.156974,CA
6/14/20,Los Angeles,37,Temple City,192,-118.057952,34.102167,CA
6/14/20,Los Angeles,37,Temple-Beaudry,417,-118.26774,34.069826,CA
6/14/20,Los Angeles,37,Thai Town,39,-118.304431,34.102003,CA
6/14/20,Los Angeles,37,Toluca Lake,23,-118.357673,34.15055,CA
6/14/20,Los Angeles,37,Toluca Terrace,8,-118.35844,34.166653,CA
6/14/20,Los Angeles,37,Toluca Woods,3,-118.357555,34.159662,CA
6/14/20,Los Angeles,37,Torrance,449,-118.341633,33.834625,CA
6/14/20,Los Angeles,37,Tujunga,141,-118.288497,34.25113,CA
6/14/20,Los Angeles,37,Twin Lakes/Oat Mountain,7,-118.610637,34.31406,CA
6/14/20,Los Angeles,37,Unincorporated - Angeles National Forest,2,-118.000747,34.323635,CA
6/14/20,Los Angeles,37,Unincorporated - Arcadia,12,-118.017067,34.108069,CA
6/14/20,Los Angeles,37,Unincorporated - Azusa,100,-117.897148,34.123231,CA
6/14/20,Los Angeles,37,Unincorporated - Covina,72,-117.875822,34.075619,CA
6/14/20,Los Angeles,37,Unincorporated - Del Rey,1,-118.412269,33.982584,CA
6/14/20,Los Angeles,37,Unincorporated - Duarte,20,-117.993289,34.12409,CA
6/14/20,Los Angeles,37,Unincorporated - Florence-Firestone,885,-118.244629,33.968138,CA
6/14/20,Los Angeles,37,Unincorporated - Glendora,3,-117.848888,34.15532,CA
6/14/20,Los Angeles,37,Unincorporated - Hawthorne,10,-118.330502,33.911054,CA
6/14/20,Los Angeles,37,Unincorporated - La Verne,5,-117.746463,34.144207,CA
6/14/20,Los Angeles,37,Unincorporated - Monrovia,23,-118.003247,34.123033,CA
6/14/20,Los Angeles,37,Unincorporated - Palmdale,6,-118.015688,34.614211,CA
6/14/20,Los Angeles,37,Unincorporated - Pomona,4,-117.820557,34.05647,CA
6/14/20,Los Angeles,37,Unincorporated - South El Monte,10,-118.027068,34.041949,CA
6/14/20,Los Angeles,37,Unincorporated - West LA,24,-118.456949,34.057291,CA
6/14/20,Los Angeles,37,Unincorporated - Whittier,15,-118.025917,34.003624,CA
6/14/20,Los Angeles,37,University Hills,16,-118.168371,34.068093,CA
6/14/20,Los Angeles,37,University Park,272,-118.278835,34.027991,CA
6/14/20,Los Angeles,37,Val Verde,23,-118.673426,34.444032,CA
6/14/20,Los Angeles,37,Valencia,12,-118.560379,34.469938,CA
6/14/20,Los Angeles,37,Valinda,152,-117.930106,34.04005,CA
6/14/20,Los Angeles,37,Valley Glen,170,-118.426504,34.182525,CA
6/14/20,Los Angeles,37,Valley Village,253,-118.395153,34.163461,CA
6/14/20,Los Angeles,37,Van Nuys,947,-118.462798,34.201032,CA
6/14/20,Los Angeles,37,Venice,75,-118.462067,33.993791,CA
6/14/20,Los Angeles,37,Vermont Knolls,227,-118.294776,33.968255,CA
6/14/20,Los Angeles,37,Vermont Square,107,-118.298043,33.999376,CA
6/14/20,Los Angeles,37,Vermont Vista,525,-118.282068,33.954326,CA
6/14/20,Los Angeles,37,Vernon,4,-118.210583,34.001902,CA
6/14/20,Los Angeles,37,Vernon Central,906,-118.251565,34.000396,CA
6/14/20,Los Angeles,37,Victoria Park,68,-118.32462,34.044,CA
6/14/20,Los Angeles,37,View Heights,11,-118.348176,33.984966,CA
6/14/20,Los Angeles,37,View Park/Windsor Hills,45,-118.348359,33.995555,CA
6/14/20,Los Angeles,37,Walnut,63,-117.859319,34.033461,CA
6/14/20,Los Angeles,37,Walnut Park,186,-118.22195,33.968237,CA
6/14/20,Los Angeles,37,Watts,468,-118.241149,33.940452,CA
6/14/20,Los Angeles,37,Wellington Square,35,-118.333492,34.035815,CA
6/14/20,Los Angeles,37,West Adams,308,-118.307847,34.035612,CA
6/14/20,Los Angeles,37,West Antelope Valley,2,-118.580785,34.760448,CA
6/14/20,Los Angeles,37,West Carson,127,-118.292604,33.825207,CA
6/14/20,Los Angeles,37,West Covina,538,-117.911288,34.055423,CA
6/14/20,Los Angeles,37,West Hills,174,-118.63607,34.211472,CA
6/14/20,Los Angeles,37,West Hollywood,199,-118.371765,34.088278,CA
6/14/20,Los Angeles,37,West Los Angeles,101,-118.450481,34.040753,CA
6/14/20,Los Angeles,37,West Puente Valley,61,-117.958787,34.043568,CA
6/14/20,Los Angeles,37,West Rancho Dominguez,10,-118.262956,33.890237,CA
6/14/20,Los Angeles,37,West Vernon,669,-118.300192,34.000114,CA
6/14/20,Los Angeles,37,West Whittier/Los Nietos,242,-118.068907,33.976609,CA
6/14/20,Los Angeles,37,Westchester,123,-118.40607,33.952357,CA
6/14/20,Los Angeles,37,Westlake,1018,-118.272224,34.057208,CA
6/14/20,Los Angeles,37,Westlake Village,7,-118.822005,34.136925,CA
6/14/20,Los Angeles,37,Westwood,92,-118.438137,34.065931,CA
6/14/20,Los Angeles,37,White Fence Farms,15,-118.171417,34.625588,CA
6/14/20,Los Angeles,37,Whittier,447,-118.018806,33.967844,CA
6/14/20,Los Angeles,37,Wholesale District,945,-118.233106,34.041547,CA
6/14/20,Los Angeles,37,Willowbrook,363,-118.251505,33.916576,CA
6/14/20,Los Angeles,37,Wilmington,399,-118.253276,33.785869,CA
6/14/20,Los Angeles,37,Wilshire Center,322,-118.295338,34.068376,CA
6/14/20,Los Angeles,37,Winnetka,369,-118.575929,34.213111,CA
6/14/20,Los Angeles,37,Wiseburn,22,-118.365742,33.90952,CA
6/14/20,Los Angeles,37,Woodland Hills,206,-118.604522,34.16635,CA
6/13/20,Los Angeles,37,Acton,16,-118.216138,34.481366,CA
6/13/20,Los Angeles,37,Adams-Normandie,69,-118.302397,34.029122,CA
6/13/20,Los Angeles,37,Agoura Hills,38,-118.760876,34.151007,CA
6/13/20,Los Angeles,37,Agua Dulce,9,-118.32381,34.497963,CA
6/13/20,Los Angeles,37,Alhambra,282,-118.135504,34.083961,CA
6/13/20,Los Angeles,37,Alsace,74,-118.362349,34.029571,CA
6/13/20,Los Angeles,37,Altadena,180,-118.135675,34.193482,CA
6/13/20,Los Angeles,37,Anaverde,2,-118.133856,34.535644,CA
6/13/20,Los Angeles,37,Angeles National Forest,1,-118.279007,34.275218,CA
6/13/20,Los Angeles,37,Angelino Heights,21,-118.251986,34.068331,CA
6/13/20,Los Angeles,37,Arcadia,106,-118.037297,34.134186,CA
6/13/20,Los Angeles,37,Arleta,334,-118.431775,34.241478,CA
6/13/20,Los Angeles,37,Artesia,58,-118.08063,33.867577,CA
6/13/20,Los Angeles,37,Athens Village,48,-118.273697,33.919783,CA
6/13/20,Los Angeles,37,Athens-Westmont,310,-118.302483,33.934033,CA
6/13/20,Los Angeles,37,Atwater Village,56,-118.258308,34.119421,CA
6/13/20,Los Angeles,37,Avocado Heights,42,-117.990979,34.040819,CA
6/13/20,Los Angeles,37,Azusa,270,-117.912351,34.138622,CA
6/13/20,Los Angeles,37,Baldwin Hills,203,-118.356095,34.014825,CA
6/13/20,Los Angeles,37,Baldwin Park,484,-117.972142,34.082841,CA
6/13/20,Los Angeles,37,Bassett,151,-117.977406,34.057144,CA
6/13/20,Los Angeles,37,Bel Air,39,-118.460296,34.098692,CA
6/13/20,Los Angeles,37,Bell,479,-118.179783,33.980058,CA
6/13/20,Los Angeles,37,Bell Gardens,435,-118.155014,33.966323,CA
6/13/20,Los Angeles,37,Bellflower,546,-118.127136,33.888021,CA
6/13/20,Los Angeles,37,Beverly Crest,41,-118.424404,34.11298,CA
6/13/20,Los Angeles,37,Beverly Hills,165,-118.402109,34.078543,CA
6/13/20,Los Angeles,37,Beverlywood,43,-118.394492,34.044747,CA
6/13/20,Los Angeles,37,Bouquet Canyon,1,-118.363392,34.595497,CA
6/13/20,Los Angeles,37,Boyle Heights,1125,-118.20533,34.03815,CA
6/13/20,Los Angeles,37,Bradbury,4,-117.968387,34.153532,CA
6/13/20,Los Angeles,37,Brentwood,90,-118.485909,34.08524,CA
6/13/20,Los Angeles,37,Burbank,441,-118.323487,34.1879,CA
6/13/20,Los Angeles,37,Cadillac-Corning,36,-118.381794,34.042513,CA
6/13/20,Los Angeles,37,Calabasas,98,-118.668881,34.13747,CA
6/13/20,Los Angeles,37,Canoga Park,609,-118.600829,34.208098,CA
6/13/20,Los Angeles,37,Canyon Country,39,-118.434197,34.454977,CA
6/13/20,Los Angeles,37,Carson,525,-118.255878,33.837391,CA
6/13/20,Los Angeles,37,Carthay,93,-118.372894,34.07124,CA
6/13/20,Los Angeles,37,Castaic,1720,-118.628355,34.610162,CA
6/13/20,Los Angeles,37,Central,634,-118.258141,34.016399,CA
6/13/20,Los Angeles,37,Century City,40,-118.419399,34.052715,CA
6/13/20,Los Angeles,37,Century Palms/Cove,420,-118.267985,33.932641,CA
6/13/20,Los Angeles,37,Cerritos,153,-118.068587,33.867752,CA
6/13/20,Los Angeles,37,Chatsworth,230,-118.596089,34.256617,CA
6/13/20,Los Angeles,37,Cheviot Hills,22,-118.408801,34.041277,CA
